,pos_prb,neg_prb,neu_prb,label,content
314,0.0023764002,0.15312633,0.8444972,1,我身材不好，性向也不符合，不过我可以推荐一个人给你，请看官微，他们会为你提供场地、导演、编剧、摄影。 原谅我这一生不羁放纵爱基友，也会怕有一天捡肥皂。，我找到人了，就是。
315,0.6156301,0.009272556999999999,0.3750974,1,嗯，下次回来你得分三分之一的时间给我们啊 咱们四人帮得永远在一起回来的路上在说每次相聚说话的时间还太少 要是能来一次四个人的旅行 多好晚安 刚分开就很想你们明天一路顺风
322,0.0015648104000000002,0.2972588,0.7011764,1,?上当受骗就这一次，近期吃的最闹心的一顿饭 都别来！ 我在t.cn/zjnhuhe
326,0.0010684857000000001,0.10441028,0.89452124,1,昨天跑了3趟医院。我麻麻也在说我工作以后身体每况愈下，小时候多么强壮的一孩子啊。我中的好多啊！转发微博。 糟糕，这都有。
336,0.0014202966000000001,0.26157957,0.7370001,1,感想就是。。。看完后老期待军训，然后遇到个这么傲娇腹黑完美的教官 可惜.... 事实证明我不是壮壮，教官们也不是常弘 （ps，海耳桑~下一生为自己自私一次吧）所以，空空你不要补偿一下我这个备受打击的娃么。。。
338,0.00054332934,0.0042040627,0.9952525999999999,1,都不敢k歌了 回复以后还敢不敢去？唱着唱着就中枪了....这事是真的，我们这都传疯了
349,0.00063256663,0.043810673,0.95555675,1,回复。。。好吧。希望真是黑哦。 老年人的反省  每年315 很多网民都在等网易的专题。。 看来我太不熟悉网易了？点连接进去左看右看也没看出是黑啊明显是黑。。。这是网易哪个频道做的二b良心啊？
350,0.0012754501,0.1937069,0.8050177,1,良心何在！！！！  fuck！！！fuck!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
352,0.0010203205,0.18848087,0.81049883,1,是第四辑不是第四集。nnd。 妈呀。不是大叔是帅哥。妈呀。是给与不是给予。妈呀，不是不慎靠谱是不甚靠谱。决定不活了！妈呀。是铅字不是签字。没文化害死人。妈呀。是第四集。罗马数字坑死人。
355,0.0011510403,0.37185606,0.6269929,1,失去理智的盲目崇拜，就会做出弱智的行为！ 脑子都进水了~有时是蛮抓狂的我是想当她们ladies尊重的，可是太多中国女性实在不象ladies啊有木有!! 女士当自尊啊!
356,0.0006716752999999999,0.004161635,0.99516666,1,回复如果是后者，那jb长明显很危险。看来，那位袁老师他们学校定50cm还是很有科学道理的。 回复鸡巴鸡巴，长不过八寸，超过八寸叫‘?’
372,0.0014839573,0.09837696,0.9001391,1,智慧 某领导当上某地的一把手后，其弟成立了一家建筑公司。刚开始没人知道其弟是谁，四处碰壁。某日当地召开干部大会，某领导在台上大拍桌子“你们不要以为某某某是我亲弟弟，就违反原则，网开一面，否则发现一起查处一起，绝不姑息！”会后，其弟时来运转大发横财。
375,0.0013705929999999998,0.30949324,0.6891361999999999,1,偶一到国内就会的皮肤过敏，尤其是天热闷湿的时候。偶被偶妈规定去看医生，偶刚不要了，去趟医院老吃力哦，有种医生一张臭面孔，开老多药，瞎七哒八一点用偿阿么的。。但是啊拉妈发了强行指令。所以，明早要去看医生。。。
379,0.0041982955,0.2889212,0.7068805,1,领导干部讲话还是严谨点吧，这句话如果放在股市里，又有多少股民含冤受苦了
380,0.0025619161,0.0017828968,0.9956552,1,不知道从什么时候开始，“忙”成了我生活中的主旋律人家法国人一年有150天到180天的假期，想想都觉得桑心 拍完必须给自己一个老长老长的假期我在t.cn/zr9igri
383,0.0009259575,0.08873482,0.9103392,1,小编压力好大。主页君会被计生办敲门查水表吗
387,0.0007436963000000001,0.013393200000000001,0.98586315,1,这是要逼死公知的节奏吗！ 随然4杯25°c的水倒一起还是25°c 原来如此！ 这才是人民群众喜闻乐见的心灵鸡汤。 走读者的路，让读者无路可走？
393,0.60925716,0.012600252,0.37814254,1,4分钟了解中国的床上文化！！大开眼界！
402,0.0007088815299999999,0.0040439709999999995,0.9952472,1,悲催的一整天，28p稿，咱工作力度能不那么集中么 睡觉??
405,0.008803991,0.0022942635999999997,0.98890173,1,革命重担挑肩上，轮流发生性关系。小小竹排江中游，轮流发生性关系红星照我去战斗，轮流发生性关系。停车坐爱枫亭晚，轮流发生性关系。 人生得意须尽欢，轮流发生性关系
407,0.00068468484,0.003898998,0.9954163,1,不可能哦？万一是福岛核辐射的变异物种？你们家这也产？ 这算什么，我们能弄出一批来。
418,0.0005350713,0.007658883000000001,0.99180603,1,给我爹打电话，惊闻他正在京沪高铁列车上被邀请试乘，北京-上海-北京一下午往返。。。不是据说这玩意儿安全性有待商榷么。。。我爹安全不安全啊？？？没事当神马小白鼠啊？？？
432,0.00073993683,0.0021240457,0.997136,1,"?才有一五毛朋友向我抱怨「你?台??事基地?放期?，大?人都不能?去??...你看美?....」我一???心喜，?「嘿嘿...你?五毛?在也??""你看美?""了....」他???口?言?得不想再跟我??，臭公知?五毛的友情就是在?嘴中建立起?的"
433,0.00069905125,0.002062172,0.99723876,1,的既然算数做不好那咱就不喝罢了，遂到楼上的，单份15，双份20，加shot是5元，三份买单是25元，然后站旁边等咖啡，我靠这一看吓一跳啊！整个咖啡机上下左右到处都是苍蝇，不下10只哦，奶壶壶上都是，拜托，入乡随俗开苍蝇咖啡馆吗？
452,0.0025313618,0.28594935,0.71151936,1,每次路上看到那些背着沉重的大书包，拼命和大人们一起试图挤上本就已很拥挤的公车的孩子们就特别心疼教育改革
466,0.0012851647000000001,0.0017812670999999998,0.9969336,1,不是相亲！就是求职！中国只有这两件事情可以做吗？！
469,0.000905786,0.020510248999999998,0.978584,1,同样无语无语凝噎
477,0.00075473875,0.0072936164,0.9919517,1,兴致冲冲地杀到 “斗鱼”吧 想学点知识，突然发现这里已被某电视剧占领，哥丢下一句艹默默地回到了“泰国斗鱼”吧，真心伤不起~
478,0.0007573186,0.0025050498,0.99673766,1,独行韩国 5分钟的路被我走了一小时还回不去，终于发现自己在错误的地铁站转圈 烧高了泪大了！大半夜走了几十条路还taxi。憋着泪的都市夜归人我在t.cn/zywkqpa
484,0.00087766524,0.031757724,0.96736467,1,文字狱引起恐慌的依据在哪?这样就抓?太过了。我为此感到恐慌!
491,0.0008973838,0.011751968,0.98735064,1,右边朋友请放宽心，只要我的公知培训班一天开张，你们就不会饿死。 公知大多都是精神分裂症患者，他们从来不用脑子思考问题，所以，本院才会生意兴隆。若公知开始用脑子思考问题，那么，本院定将关门歇业！
495,0.00094952184,0.009879747,0.98917073,1,千灯湖的地铁站太坑爹了 ，地铁口跟千灯湖距离有将近半小时路程吧，而且路窄，偏僻，有积水，只有公交车站＂千灯湖＂站才是跟湖连在一起的。如果想公交转地铁的话要坐到一个名叫＂千灯湖地铁站＂的公交车站，那个才是跟地铁口相邻的。
497,0.85729074,0.06909325,0.07361601,1,政策和策略是党的生命 好感动
499,0.0005063068,0.006247853,0.9932459000000001,1,回复我是不知道mac能否装wln系统下的各种盗版软件，花几千买正版不习惯什么什么啊？盗版软件无处不在的好伐 靠！进灰一刚。这种事情都会有的啊 还好意思买那么贵。侬重新考虑一下吧。
506,0.0006384157,0.006533372,0.9928281999999999,1,嗨嗨，怎么说呢……有时候人缘好也是麻烦……明明不喜欢甚至很讨厌这个人……可ta就是总扑上来缠着……搞得老娘内心各种怨念恶念碎碎念，然后还不好意思开口让ta滚远点儿……
513,0.0012134319,0.077428736,0.9213578000000001,1,凌晨两点收到垃圾短信，提示音把我惊醒，想着一大堆还没完成的工作，头晕，等再入睡已是一小时以后了，再次被惊醒时不到六点，楼下老太太们的晨练音乐响起。这个困呐。。。
524,0.015597973999999999,0.0030436395,0.98135835,1,都说好人有好报的???隔世相望~天堂续缘
535,0.0008399269,0.07573139,0.92342865,1,回复难道这个安慰还不够吗?都木有安慰啊啊迟到罚款！迟到罚款！
544,0.00077589473,0.013467763,0.98575634,1,回复 现在男女都越来越不自信 晒出硬条件来找就是个错误，引来发不可能是真爱，说不定好人家女孩子看了还倍感厌恶，赤裸裸一个长相没自信靠物质来炫耀和撑腰的坏男人 三个月都不用，现在不讲爱了
545,0.0014095483,0.010009226,0.98858124,1,太可怕了!小心！
556,0.004010898,0.013773393,0.98221564,1,垃圾「微信必将收费」收费步骤第一步专家造势；第二步垄断企业施压；第三步垄断企业向主管部委告状；第四步部委表态，应广大人民群众要求；第五步企业低头；第六步收费，现在进入第四步了。
558,0.00082909304,0.0048827472999999995,0.99428815,1,尤其是70末80初的一代，吃着苦、做着试验品还挨着骂 神门时代都赶上了俺这六零后更惨啊！
564,0.0011709458000000001,0.0012738369999999999,0.9975552,1,→_→→_→ →_→→_→ →_→ →_→→_→ →_→卧槽！回复我上过，又怎么样呢？ 人家上过章子怡，你上过？
